info1,info2,info_draft,info_team,name,sc_price
"
Age: 29yr 2mth    Games: 168     Born: December 10, 1989    
","
Height: 187cm    
Weight: 93kg    
Position:
            Defender
      ","
Last Drafted: Round 6, Pick #102 ",,Zach Tuohy,"
Supercoach Price: $460,400
  "
"
Age: 19yr     Games: 0     Born: February 9, 2000    
","
Height: 189cm    
Weight: 84kg    
Position:
            Defender
      ","
Last Drafted: Round 1, Pick #12 ",,Durak Tucker,"
Supercoach Price: $111,400
  "
"
Age: 22yr 1mth    Games: 48     Born: January 23, 1997    
","
Height: 183cm    
Weight: 83kg    
Position:
            Midfield
      ","
Last Drafted: Round 2, Pick #27 ",,Darcy Tucker,"
Supercoach Price: $327,900
  "
"
Age: 28yr 4mth    Games: 169     Born: November 2, 1990    
","
Height: 197cm    
Weight: 97kg    
Position:
            Defender
      ","
Last Drafted: Round 2, Pick #22 ",,Jackson Trengove,"
Supercoach Price: $400,000
  "
"
Age: 27yr 6mth    Games: 89     Born: September 2, 1991    
","
Height: 186cm    
Weight: 85kg    
Position:
            Defender
      ","
Last Drafted: Priority Pick #2 ",,Jack Trengove,"
Supercoach Price: $235,600
  "
"
Age: 25yr 11mth    Games: 139     Born: March 9, 1993    
","
Height: 182cm    
Weight: 86kg    
Position:
            Midfield
      ",,,Adam Treloar,"
Supercoach Price: $594,200
  "
"
Age: 25yr 8mth    Games: 47     Born: June 20, 1993    
","
Height: 187cm    
Weight: 89kg    
Position:
            Forward
      ","
Last Drafted: Round 2, Pick #32 ",,Jacob Townsend,"
Supercoach Price: $278,500
  "
"
Age: 25yr 6mth    Games: 115     Born: August 10, 1993    
","
Height: 194cm    
Weight: 96kg    
Position:
            Midfield
      ","
Last Drafted: Round 1, Pick #9 ",,Adam Tomlinson,"
Supercoach Price: $385,400
  "
"
Age: 19yr 2mth    Games: 0     Born: December 14, 1999    
","
Position:
            Defender,
                Forward
      ",,,Anton Tohill,"
Supercoach Price: $102,400
  "
"
Age: 31yr 9mth    Games: 178     Born: May 8, 1987    
","
Height: 202cm    
Weight: 106kg    
Position:
            Forward,
                Ruck
      ","
Last Drafted: Round 3, Pick #42 ",,Kurt Tippett,"
Supercoach Price: $385,100
  "
"
Age: 24yr 11mth    Games: 46     Born: March 28, 1994    
","
Height: 191cm    
Weight: 88kg    
Position:
            Midfield
      ","
Last Drafted: Round 1, Pick #16 ",,Jackson Thurlow,"
Supercoach Price: $289,700
  "
"
Age: 32yr 9mth    Games: 222     Born: May 9, 1986    
","
Height: 193cm    
Weight: 96kg    
Position:
            Defender
      ","
Last Drafted: Round 3, Pick #37 ",,Scott Thompson,"
Supercoach Price: $419,000
  "
"
Age: 27yr 11mth    Games: 103     Born: March 12, 1991    
","
Height: 200cm    
Weight: 100kg    
Position:
            Defender
      ",,,Rory Thompson,"
Supercoach Price: $265,400
  "
"
Age: 18yr 11mth    Games: 0     Born: March 25, 2000    
","
Height: 189cm    
Weight: 85kg    
Position:
            Midfield
      ","
Last Drafted: Round 1, Pick #8 ",,Tarryn Thomas,"
Supercoach Price: $175,800
  "
"
Age: 27yr 5mth    Games: 67     Born: October 1, 1991    
","
Height: 178cm    
Weight: 79kg    
Position:
            Forward
      ","
Last Drafted: Round 3, Pick #42 ",,Josh Thomas,"
Supercoach Price: $413,800
  "
"
Age: 31yr 8mth    Games: 238     Born: June 21, 1987    
","
Height: 185cm    
Weight: 84kg    
Position:
            Defender
      ","
Last Drafted: Priority Pick #2 ",,Dale Thomas,"
Supercoach Price: $462,000
  "
"
Age: 19yr 9mth    Games: 8     Born: May 5, 1999    
","
Height: 196cm    
Weight: 87kg    
Position:
            Defender
      ","
Last Drafted: Round 2, Pick #28 ",,Sam Taylor,"
Supercoach Price: $268,000
  "
"
Age: 24yr     Games: 107     Born: February 17, 1995    
","
Height: 175cm    
Weight: 79kg    
Position:
            Forward
      ","
Last Drafted: Round 2, Pick #28 ",,Lewis Taylor,"
Supercoach Price: $390,400
  "
"
Age: 32yr 8mth    Games: 237     Born: June 12, 1986    
","
Height: 195cm    
Weight: 94kg    
Position:
            Defender
      ","
Last Drafted: Round 1, Pick #17 ",,Harry Taylor,"
Supercoach Price: $262,800
  "
"
Age: 18yr 10mth    Games: 0     Born: April 6, 2000    
","
Height: 187cm    
Weight: 79kg    
Position:
            Midfield,
                Forward
      ","
Last Drafted: Round 3, Pick #46 ",,Curtis Taylor,"
Supercoach Price: $117,300
  "
"
Age: 29yr 10mth    Games: 126     Born: April 25, 1989    
","
Height: 196cm    
Weight: 97kg    
Position:
            Defender
      ","
Last Drafted: Round 1, Pick #15 ",,Robbie Tarrant,"
Supercoach Price: $403,000
  "
"
Age: 19yr     Games: 0     Born: February 23, 2000    
","
Height: 175cm    
Weight: 74kg    
Position:
            Forward
      ","
Last Drafted: Round 4, Pick #68 ",,Jake Tarca,"
Supercoach Price: $117,300
  "
"
Age: 21yr 1mth    Games: 37     Born: January 28, 1998    
","
Height: 187cm    
Weight: 87kg    
Position:
            Midfield
      ","
Last Drafted: Round 1, Pick #2 ",,Tim Taranto,"
Supercoach Price: $481,600
  "
"
Age: 27yr 5mth    Games: 164     Born: October 2, 1991    
","
Height: 197cm    
Weight: 98kg    
Position:
            Defender
      ","
Last Drafted: Round 1, Pick #13 ",,Daniel Talia,"
Supercoach Price: $378,500
  "
"
Age: 25yr 8mth    Games: 62     Born: June 17, 1993    
","
Height: 199cm    
Weight: 97kg    
Position:
            Forward
      ","
Last Drafted: Round 4, Pick #70 ",,Matthew Taberner,"
Supercoach Price: $354,100
  "
